ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Col,Metadata_FileLocation,Metadata_FileName,Metadata_Frame,Metadata_Plate,Metadata_Row,Metadata_Series,Metadata_Well,Children_Cells_Count,Children_FilteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
4,19,nan,022,nan,nan,0,u26a,000,0,A2,0,0,54.57234042553191,766.6361702127659,0,19
4,20,nan,022,nan,nan,0,u26a,000,0,A2,1,1,151.53187042842217,764.7439916405434,0,20
4,21,nan,022,nan,nan,0,u26a,000,0,A2,1,1,255.62475633528265,795.7553606237817,0,21
4,22,nan,022,nan,nan,0,u26a,000,0,A2,0,0,923.3804638715433,828.8519179304193,0,22
4,23,nan,022,nan,nan,0,u26a,000,0,A2,1,1,160.52193995381063,838.724403387221,0,23
4,24,nan,022,nan,nan,0,u26a,000,0,A2,1,1,394.0742574257426,876.480198019802,0,24
4,25,nan,022,nan,nan,0,u26a,000,0,A2,0,0,118.62745098039215,955.7519607843137,0,25
5,1,nan,023,nan,nan,0,u26a,000,0,A2,0,0,928.6677032430031,54.26788094180364,0,1
5,2,nan,023,nan,nan,0,u26a,000,0,A2,1,1,176.109375,61.875,0,2
5,3,nan,023,nan,nan,0,u26a,000,0,A2,1,1,141.01433691756273,68.39068100358423,0,3
5,4,nan,023,nan,nan,0,u26a,000,0,A2,1,1,399.3513731825525,102.0016155088853,0,4
5,5,nan,023,nan,nan,0,u26a,000,0,A2,1,1,124.91932773109244,180.66470588235293,0,5
5,6,nan,023,nan,nan,0,u26a,000,0,A2,1,1,76.66995884773662,279.0074074074074,0,6
5,7,nan,023,nan,nan,0,u26a,000,0,A2,1,1,295.6029043565348,333.22383575363045,0,7
5,8,nan,023,nan,nan,0,u26a,000,0,A2,1,1,225.4822112753147,487.88615216201424,0,8
5,9,nan,023,nan,nan,0,u26a,000,0,A2,1,1,712.2992424242424,522.1872294372295,0,9
5,10,nan,023,nan,nan,0,u26a,000,0,A2,1,1,398.58994901675163,539.5564457392571,0,10
5,11,nan,023,nan,nan,0,u26a,000,0,A2,1,1,167.20247204237788,553.7062978222484,0,11
5,12,nan,023,nan,nan,0,u26a,000,0,A2,1,1,388.67097701149424,583.5998563218391,0,12
5,13,nan,023,nan,nan,0,u26a,000,0,A2,1,1,664.4008778346745,630.3123628383321,0,13
5,14,nan,023,nan,nan,0,u26a,000,0,A2,0,0,64.25232774674116,686.8240223463687,0,14
5,15,nan,023,nan,nan,0,u26a,000,0,A2,1,1,244.95298372513562,706.1609403254973,0,15
5,16,nan,023,nan,nan,0,u26a,000,0,A2,1,1,853.8256198347108,705.0768595041322,0,16
5,17,nan,023,nan,nan,0,u26a,000,0,A2,1,1,334.5064267352185,746.8843187660668,0,17
5,18,nan,023,nan,nan,0,u26a,000,0,A2,1,1,143.59782608695653,793.8641304347826,0,18
5,19,nan,023,nan,nan,0,u26a,000,0,A2,0,0,483.9860904123199,844.648782911078,0,19
5,20,nan,023,nan,nan,0,u26a,000,0,A2,0,0,305.25,866.0526004728132,0,20
5,21,nan,023,nan,nan,0,u26a,000,0,A2,1,1,160.9223194748359,866.4354485776805,0,21
5,22,nan,023,nan,nan,0,u26a,000,0,A2,0,0,425.4297061159651,894.0746624305004,0,22
5,23,nan,023,nan,nan,0,u26a,000,0,A2,0,0,74.333,954.587,0,23
5,24,nan,023,nan,nan,0,u26a,000,0,A2,0,0,191.21970149253733,963.8101492537313,0,24
6,1,nan,024,nan,nan,0,u26a,000,0,A2,0,0,153.6042780748663,16.497326203208555,0,1
6,2,nan,024,nan,nan,0,u26a,000,0,A2,0,0,137.07843137254903,24.774509803921568,0,2
6,3,nan,024,nan,nan,0,u26a,000,0,A2,0,0,489.8644652538196,70.79546574667324,0,3
6,4,nan,024,nan,nan,0,u26a,000,0,A2,0,0,311.1435239206534,92.02683780630105,0,4
6,5,nan,024,nan,nan,0,u26a,000,0,A2,1,1,166.7079556898288,92.00402819738167,0,5
6,6,nan,024,nan,nan,0,u26a,000,0,A2,1,1,431.286271450858,120.17082683307332,0,6
6,7,nan,024,nan,nan,0,u26a,000,0,A2,1,1,80.46438746438747,180.22507122507122,0,7
6,8,nan,024,nan,nan,0,u26a,000,0,A2,1,1,197.31311380704796,189.48526863084922,0,8
6,9,nan,024,nan,nan,0,u26a,000,0,A2,1,1,735.4391619661563,222.26672038678484,0,9
6,10,nan,024,nan,nan,0,u26a,000,0,A2,0,0,809.1107554417414,235.3809218950064,0,10
6,11,nan,024,nan,nan,0,u26a,000,0,A2,1,1,397.71076923076924,254.69153846153847,0,11
6,12,nan,024,nan,nan,0,u26a,000,0,A2,1,1,569.51062215478,256.09408194233686,0,12
6,13,nan,024,nan,nan,0,u26a,000,0,A2,1,1,526.3258036490008,341.25108601216334,0,13
6,14,nan,024,nan,nan,0,u26a,000,0,A2,1,1,234.7814713896458,391.9923705722071,0,14
6,15,nan,024,nan,nan,0,u26a,000,0,A2,0,0,923.0635308491143,408.4294441050703,0,15
6,16,nan,024,nan,nan,0,u26a,000,0,A2,0,0,28.142628205128204,451.31089743589746,0,16
6,17,nan,024,nan,nan,0,u26a,000,0,A2,1,1,243.76524176594253,501.05676243868254,0,17
6,18,nan,024,nan,nan,0,u26a,000,0,A2,1,1,309.0376016260163,525.7352642276422,0,18
6,19,nan,024,nan,nan,0,u26a,000,0,A2,1,1,412.0133333333333,552.3466666666667,0,19
6,20,nan,024,nan,nan,0,u26a,000,0,A2,0,0,878.103128054741,582.505376344086,0,20
6,21,nan,024,nan,nan,0,u26a,000,0,A2,0,0,60.737354085603116,621.2791828793775,0,21
6,22,nan,024,nan,nan,0,u26a,000,0,A2,1,1,244.6322517207473,653.2694198623402,0,22
6,23,nan,024,nan,nan,0,u26a,000,0,A2,1,1,316.86946011281225,678.3618049959709,0,23
6,24,nan,024,nan,nan,0,u26a,000,0,A2,1,1,641.875,678.3462121212121,0,24
6,25,nan,024,nan,nan,0,u26a,000,0,A2,1,1,639.1562986003111,749.4401244167963,0,25
6,26,nan,024,nan,nan,0,u26a,000,0,A2,0,0,65.2739244951712,754.4372256365233,0,26
6,27,nan,024,nan,nan,0,u26a,000,0,A2,1,1,799.4016620498614,755.8421052631579,0,27
6,28,nan,024,nan,nan,0,u26a,000,0,A2,1,1,190.02745098039216,787.7529411764706,0,28
6,29,nan,024,nan,nan,0,u26a,000,0,A2,1,1,763.893914014517,812.2970407593523,0,29
6,30,nan,024,nan,nan,0,u26a,000,0,A2,1,1,179.2119718309859,859.9985915492957,0,30
6,31,nan,024,nan,nan,0,u26a,000,0,A2,0,0,448.9012578616352,948.6641509433962,0,31
7,1,nan,025,nan,nan,0,u26a,000,0,A2,0,0,769.211422295442,37.828665568369026,0,1
7,2,nan,025,nan,nan,0,u26a,000,0,A2,1,1,184.4834123222749,85.24306025727827,0,2
7,3,nan,025,nan,nan,0,u26a,000,0,A2,1,1,454.1794099939795,174.1830222757375,0,3
7,4,nan,025,nan,nan,0,u26a,000,0,A2,0,0,154.81537302185382,294.991710625471,0,4
7,5,nan,025,nan,nan,0,u26a,000,0,A2,1,1,836.5418326693227,344.996015936255,0,5
7,6,nan,025,nan,nan,0,u26a,000,0,A2,1,1,747.186,337.60066666666665,0,6
7,7,nan,025,nan,nan,0,u26a,000,0,A2,1,1,361.609756097561,406.9268292682927,0,7
7,8,nan,025,nan,nan,0,u26a,000,0,A2,0,0,88.564696485623,426.76437699680514,0,8
7,9,nan,025,nan,nan,0,u26a,000,0,A2,1,1,864.3630208333333,446.5807291666667,0,9
7,10,nan,025,nan,nan,0,u26a,000,0,A2,1,1,614.334358974359,453.3251282051282,0,10
7,11,nan,025,nan,nan,0,u26a,000,0,A2,1,1,770.1595127610209,541.1305104408352,0,11
7,12,nan,025,nan,nan,0,u26a,000,0,A2,1,1,222.40277777777777,558.9122807017544,0,12
7,13,nan,025,nan,nan,0,u26a,000,0,A2,1,1,631.0773195876288,585.6709621993127,0,13
7,14,nan,025,nan,nan,0,u26a,000,0,A2,1,1,578.9009259259259,601.3324074074075,0,14
7,15,nan,025,nan,nan,0,u26a,000,0,A2,1,1,308.470737913486,625.5896946564885,0,15
7,16,nan,025,nan,nan,0,u26a,000,0,A2,1,1,707.1567567567567,630.823166023166,0,16
7,17,nan,025,nan,nan,0,u26a,000,0,A2,1,1,773.5302904564315,641.0240663900415,0,17
7,18,nan,025,nan,nan,0,u26a,000,0,A2,1,1,359.60964581763375,695.1733232856067,0,18
7,19,nan,025,nan,nan,0,u26a,000,0,A2,0,0,937.2493554327808,771.2158379373849,0,19
7,20,nan,025,nan,nan,0,u26a,000,0,A2,1,1,180.24002186987425,809.7780207763806,0,20
7,21,nan,025,nan,nan,0,u26a,000,0,A2,1,1,96.96712328767123,831.8310502283105,0,21
7,22,nan,025,nan,nan,0,u26a,000,0,A2,1,1,352.109126984127,846.905753968254,0,22
7,23,nan,025,nan,nan,0,u26a,000,0,A2,1,1,820.8671831765357,838.8837852794687,0,23
7,24,nan,025,nan,nan,0,u26a,000,0,A2,1,1,327.6525423728813,863.4067796610169,0,24
7,25,nan,025,nan,nan,0,u26a,000,0,A2,0,0,808.9870729455217,921.0914127423823,0,25
7,26,nan,025,nan,nan,0,u26a,000,0,A2,0,0,447.312661498708,926.4969853574505,0,26
7,27,nan,025,nan,nan,0,u26a,000,0,A2,0,0,728.5395161290322,952.8508064516129,0,27
7,28,nan,025,nan,nan,0,u26a,000,0,A2,0,0,662.660465116279,960.2255813953489,0,28
7,29,nan,025,nan,nan,0,u26a,000,0,A2,0,0,24.702235772357724,967.7916666666666,0,29
8,1,nan,026,nan,nan,0,u26a,000,0,A2,0,0,186.37255813953487,36.68697674418605,0,1
8,2,nan,026,nan,nan,0,u26a,000,0,A2,1,1,103.03387220939184,58.260969976905315,0,2
8,3,nan,026,nan,nan,0,u26a,000,0,A2,0,0,351.459147070546,72.49661219609406,0,3
8,4,nan,026,nan,nan,0,u26a,000,0,A2,1,1,826.7253992787223,65.46522411128285,0,4
8,5,nan,026,nan,nan,0,u26a,000,0,A2,1,1,814.6013570822731,147.6153519932146,0,5
8,6,nan,026,nan,nan,0,u26a,000,0,A2,1,1,452.83269378357636,153.04374520337683,0,6
8,7,nan,026,nan,nan,0,u26a,000,0,A2,1,1,734.1270718232045,181.28729281767957,0,7
8,8,nan,026,nan,nan,0,u26a,000,0,A2,1,1,668.2436687200548,186.70704996577686,0,8
8,9,nan,026,nan,nan,0,u26a,000,0,A2,0,0,30.782511210762333,193.53961136023915,0,9
8,10,nan,026,nan,nan,0,u26a,000,0,A2,1,1,570.0048484848485,279.8721212121212,0,10
8,11,nan,026,nan,nan,0,u26a,000,0,A2,1,1,743.6362940275651,272.88820826952525,0,11
8,12,nan,026,nan,nan,0,u26a,000,0,A2,1,1,522.200210748156,295.3804004214963,0,12
8,13,nan,026,nan,nan,0,u26a,000,0,A2,1,1,612.1476620180475,294.1525840853158,0,13
8,14,nan,026,nan,nan,0,u26a,000,0,A2,1,1,456.68469656992085,295.44656992084435,0,14
8,15,nan,026,nan,nan,0,u26a,000,0,A2,1,1,662.0942075111394,319.62444302991724,0,15
8,16,nan,026,nan,nan,0,u26a,000,0,A2,1,1,874.5821167883212,327.6143552311436,0,16
8,17,nan,026,nan,nan,0,u26a,000,0,A2,1,1,280.83975812547243,338.2199546485261,0,17
8,18,nan,026,nan,nan,0,u26a,000,0,A2,1,1,386.4141651031895,384.6575984990619,0,18
8,19,nan,026,nan,nan,0,u26a,000,0,A2,1,1,940.4285714285714,398.8457711442786,0,19
8,20,nan,026,nan,nan,0,u26a,000,0,A2,1,1,565.4058577405858,401.14435146443515,0,20
8,21,nan,026,nan,nan,0,u26a,000,0,A2,1,1,802.0758998435055,432.73943661971833,0,21
8,22,nan,026,nan,nan,0,u26a,000,0,A2,1,1,722.8044943820224,471.49213483146065,0,22
